id, date, time, day, session, trial, tau, ild, itd, ratio, revno, rove, srove, vrove, correct, answer
2002, 2018-03-13, 13:09:50, 1, 2, 25, 4.000, 0.0, 0.350, 7.000000, 0, 0, 0.000000, 0.000000, 0, 1
2002, 2018-03-13, 13:09:52, 1, 2, 26, 4.000, 0.0, 0.350, 10.000000, 0, 0, 0.000000, 0.000000, 1, 0
2002, 2018-03-13, 13:09:54, 1, 2, 27, 4.000, 0.0, 0.350, 13.000000, 0, 0, 0.000000, 0.000000, 1, 1
2002, 2018-03-13, 13:09:57, 1, 2, 28, 4.000, 0.0, 0.350, 13.000000, 8, 0, 0.000000, 0.000000, 1, 1
2002, 2018-03-13, 13:09:59, 1, 2, 29, 4.000, 0.0, 0.350, 10.000000, 0, 0, 0.000000, 0.000000, 1, 1
2002, 2018-03-13, 13:10:02, 1, 2, 30, 4.000, 0.0, 0.350, 10.000000, 0, 0, 0.000000, 0.000000, 0, 0
2002, 2018-03-13, 13:10:04, 1, 2, 31, 4.000, 0.0, 0.350, 7.000000, 0, 0, 0.000000, 0.000000, 1, 1
2002, 2018-03-13, 13:10:06, 1, 2, 32, 4.000, 0.0, 0.350, 7.000000, 0, 0, 0.000000, 0.000000, 0, 0
2002, 2018-03-13, 13:10:09, 1, 2, 33, 4.000, 0.0, 0.350, 4.000000, 0, 0, 0.000000, 0.000000, 1, 1
2002, 2018-03-13, 13:10:11, 1, 2, 34, 4.000, 0.0, 0.350, 4.000000, 9, 0, 0.000000, 0.000000, 0, 1
2002, 2018-03-13, 13:10:13, 1, 2, 35, 4.000, 0.0, 0.350, 7.000000, 0, 0, 0.000000, 0.000000, 1, 1
2002, 2018-03-13, 13:10:15, 1, 2, 36, 4.000, 0.0, 0.350, 7.000000, 10, 0, 0.000000, 0.000000, 1, 1
2002, 2018-03-13, 13:10:18, 1, 2, 37, 4.000, 0.0, 0.350, 4.000000, 11, 0, 0.000000, 0.000000, 0, 1
2002, 2018-03-13, 13:10:20, 1, 2, 38, 4.000, 0.0, 0.350, 7.000000, 0, 0, 0.000000, 0.000000, 0, 0
2002, 2018-03-13, 13:10:22, 1, 2, 39, 4.000, 0.0, 0.350, 7.000000, 12, 0, 0.000000, 0.000000, 1, 1
2002, 2018-03-13, 13:10:25, 1, 2, 40, 4.000, 0.0, 0.350, 4.000000, 13, 0, 0.000000, 0.000000, 0, 1
2002, 2018-03-13, 13:10:27, 1, 2, 41, 4.000, 0.0, 0.350, 7.000000, 0, 0, 0.000000, 0.000000, 1, 1
2002, 2018-03-13, 13:10:29, 1, 2, 42, 4.000, 0.0, 0.350, 7.000000, 14, 0, 0.000000, 0.000000, 1, 1
2002, 2018-03-13, 13:10:32, 1, 2, 43, 4.000, 0.0, 0.350, 6.000000, 0, 0, 0.000000, 0.000000, 0, 0
2002, 2018-03-13, 13:10:34, 1, 2, 44, 4.000, 0.0, 0.350, 6.000000, 0, 0, 0.000000, 0.000000, 0, 0
2002, 2018-03-13, 13:10:36, 1, 2, 45, 4.000, 0.0, 0.350, 5.000000, 0, 0, 0.000000, 0.000000, 1, 1
2002, 2018-03-13, 13:10:39, 1, 2, 46, 4.000, 0.0, 0.350, 5.000000, 15, 0, 0.000000, 0.000000, 0, 1
2002, 2018-03-13, 13:10:41, 1, 2, 47, 4.000, 0.0, 0.350, 6.000000, 0, 0, 0.000000, 0.000000, 1, 1
2002, 2018-03-13, 13:10:43, 1, 2, 48, 4.000, 0.0, 0.350, 6.000000, 16, 0, 0.000000, 0.000000, 0, 0
2002, 2018-03-13, 13:10:45, 1, 2, 49, 4.000, 0.0, 0.350, 5.000000, 0, 0, 0.000000, 0.000000, 1, 1
2002, 2018-03-13, 13:10:48, 1, 2, 50, 4.000, 0.0, 0.350, 5.000000, 0, 0, 0.000000, 0.000000, 1, 1
2002, 2018-03-13, 13:10:50, 1, 2, 51, 4.000, 0.0, 0.350, 4.000000, 0, 0, 0.000000, 0.000000, 1, 1
2002, 2018-03-13, 13:10:52, 1, 2, 52, 4.000, 0.0, 0.350, 4.000000, 17, 0, 0.000000, 0.000000, 0, 1
2002, 2018-03-13, 13:10:55, 1, 2, 53, 4.000, 0.0, 0.350, 5.000000, 0, 0, 0.000000, 0.000000, 1, 1
2002, 2018-03-13, 13:10:57, 1, 2, 54, 4.000, 0.0, 0.350, 5.000000, 18, 0, 0.000000, 0.000000, 1, 1
2002, 2018-03-13, 13:11:00, 1, 2, 55, 4.000, 0.0, 0.350, 4.000000, 0, 0, 0.000000, 0.000000, 1, 1
2002, 2018-03-13, 13:11:02, 1, 2, 56, 4.000, 0.0, 0.350, 4.000000, 0, 0, 0.000000, 0.000000, 1, 1
2002, 2018-03-13, 13:11:05, 1, 2, 57, 4.000, 0.0, 0.350, 3.000000, 0, 0, 0.000000, 0.000000, 1, 1
2002, 2018-03-13, 13:11:07, 1, 2, 58, 4.000, 0.0, 0.350, 3.000000, 19, 0, 0.000000, 0.000000, 1, 0
2002, 2018-03-13, 13:11:09, 1, 2, 59, 4.000, 0.0, 0.350, 4.000000, 0, 0, 0.000000, 0.000000, 1, 1
2002, 2018-03-13, 13:11:12, 1, 2, 60, 4.000, 0.0, 0.350, 4.000000, 20, 0, 0.000000, 0.000000, 0, 0
2002, 2018-03-13, 13:12:07, 1, 3, 1, 4.000, 10.0, 0.000, 10.000000, 0, 10, 1.470131, 8.266414, 0, 0
2002, 2018-03-13, 13:12:10, 1, 3, 2, 4.000, 10.0, 0.000, 5.000000, 0, 10, 8.712298, 1.274062, 0, 0
2002, 2018-03-13, 13:12:12, 1, 3, 3, 4.000, 10.0, 0.000, 0.000000, 0, 10, -4.995300, 9.077516, 1, 1
2002, 2018-03-13, 13:12:15, 1, 3, 4, 4.000, 10.0, 0.000, -5.000000, 0, 10, -2.582786, -3.366309, 1, 1
2002, 2018-03-13, 13:12:18, 1, 3, 5, 4.000, 10.0, 0.000, -10.000000, 0, 10, 1.615046, -3.866800, 0, 0
2002, 2018-03-13, 13:12:21, 1, 3, 6, 4.000, 10.0, 0.000, -15.000000, 1, 10, 5.524696, -0.107711, 1, 0
2002, 2018-03-13, 13:12:23, 1, 3, 7, 4.000, 10.0, 0.000, -10.000000, 0, 10, 9.633290, 9.849773, 1, 1
2002, 2018-03-13, 13:12:27, 1, 3, 8, 4.000, 10.0, 0.000, -10.000000, 0, 10, 6.690498, 2.231556, 0, 1
2002, 2018-03-13, 13:12:29, 1, 3, 9, 4.000, 10.0, 0.000, -5.000000, 0, 10, 7.920501, 5.053951, 1, 1
2002, 2018-03-13, 13:12:31, 1, 3, 10, 4.000, 10.0, 0.000, -5.000000, 2, 10, -9.496982, 9.301742, 1, 1
2002, 2018-03-13, 13:12:34, 1, 3, 11, 4.000, 10.0, 0.000, -10.000000, 0, 10, -6.088041, -3.699588, 0, 0
2002, 2018-03-13, 13:12:36, 1, 3, 12, 4.000, 10.0, 0.000, -10.000000, 3, 10, 2.945540, 7.505883, 0, 1
2002, 2018-03-13, 13:12:38, 1, 3, 13, 4.000, 10.0, 0.000, -5.000000, 0, 10, 7.727909, 7.671291, 0, 0
2002, 2018-03-13, 13:12:41, 1, 3, 14, 4.000, 10.0, 0.000, -5.000000, 4, 10, -3.626426, -3.041492, 1, 1
2002, 2018-03-13, 13:12:43, 1, 3, 15, 4.000, 10.0, 0.000, -10.000000, 0, 10, 5.106600, -4.285852, 0, 0
